"sex","age","numgiven","sex1","talkto1","sex2","talkto2","sex3","talkto3","sex4","talkto4","sex5","talkto5","close12","close13","close14","close15","close23","close24","close25","close34","close35","close45","mntlhlth","health1"
"female","30","4","male","almost daily","male","almost daily","female","almost daily","male","almost daily",NA,NA,"especially close","total strangers","know each other",NA,"total strangers","know each other",NA,"especially close",NA,NA,"12",NA
"male","62","3","male","almost daily","female","almost daily","female","almost daily",NA,NA,NA,NA,"especially close","especially close",NA,NA,"especially close",NA,NA,NA,NA,NA,NA,NA
"male","33","5","male","almost daily","female","almost daily","male","almost daily","female","almost daily","male","almost daily","especially close","especially close","especially close","total strangers","especially close","especially close","total strangers","especially close","total strangers","especially close","2","very good"
"female","51","1","male","almost daily",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5",NA
"female","46","6","male","almost daily","female","almost daily","male","almost daily","female","once a week","female","almost daily","especially close","especially close","especially close","especially close","especially close","especially close","total strangers","total strangers","total strangers","total strangers","5","excellent"
"male","45","3","female","almost daily","male","once a week","female","almost daily",NA,NA,NA,NA,"know each other","especially close",NA,NA,"especially close",NA,NA,NA,NA,NA,NA,NA
"female","23","1","female","almost daily",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14",NA
"female","56","3","male","once a month","female","once a month","male","once a month",NA,NA,NA,NA,"know each other","know each other",NA,NA,"total strangers",NA,NA,NA,NA,NA,"0",NA
"female","34","6","female","once a week","male","almost daily","female","once a week","female","lt once a month","female","once a month","especially close","know each other","total strangers","total strangers","know each other","total strangers","total strangers","total strangers","total strangers","especially close","20","good"
"male","41","2","male","once a week","male","lt once a month",NA,NA,NA,NA,NA,NA,"total strangers",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA
"male","44","3","female","almost daily","male","once a month","male","lt once a month",NA,NA,NA,NA,"know each other","know each other",NA,NA,"total strangers",NA,NA,NA,NA,NA,"2",NA
"male","55","1","female","almost daily",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA
"female","32","2","male","almost daily","female","almost daily",NA,NA,NA,NA,NA,NA,"especially close",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","very good"
"male","42","3","female","almost daily","female","once a month","male","once a week",NA,NA,NA,NA,"know each other","know each other",NA,NA,"know each other",NA,NA,NA,NA,NA,"4",NA
